Country,Year,Population
United States of America,2000,281710.914
United States of America,2001,284607.992
United States of America,2002,287279.312
United States of America,2003,289815.567
United States of America,2004,292354.663
United States of America,2005,294993.509
United States of America,2006,297758.977
United States of America,2007,300608.425
United States of America,2008,303486.022
United States of America,2009,306307.565
United States of America,2010,309011.469
United States of America,2011,311584.051
United States of America,2012,314043.885
United States of America,2013,316400.539
United States of America,2014,318673.422
United States of America,2015,320878.312
United States of America,2016,323015.992
United States of America,2017,325084.758
United States of America,2018,327096.263
United States of America,2019,329064.917
United States of America,2020,331002.647
United States of America,2021,332915.074
